
	=== setup ===
speedups	       b/o        b/s       b/os       o/os       s/os
nas-cg      	     -8.71     -16.39     -21.02     -13.49      -5.55
mandelbrot  	     -6.64       7.37       2.16       9.43      -4.85
nas-sp      	    -14.94       6.23     -17.29      -2.76     -22.14
particlefilter	    -25.86       2.23     -17.82      10.84     -19.61
nas-is      	    -23.29       4.83     -24.76      -1.91     -28.22
blur        	    -42.26       0.28     -39.08       5.52     -39.25
gaussian    	    -19.51      15.45      -0.10      24.12     -13.46
mmul        	    -48.64      -3.21     -48.20       0.86     -46.49
nas-ft      	    -20.61       1.13     -23.10      -3.14     -23.96
nas-lu      	    778.72     -30.41     868.80      10.25    1292.17
nas-ep      	    -13.46      14.08     -35.32     -25.26     -43.30

	=== exec ===
speedups	       b/o        b/s       b/os       o/os       s/os
nas-cg      	      1.08     -30.26     -30.28     -31.02      -0.02
mandelbrot  	     -1.44      -2.10       0.39       1.85       2.54
nas-sp      	     -6.84     -45.05     -44.72     -40.66       0.59
particlefilter	      7.23       8.42       7.25       0.01      -1.09
nas-is      	     -0.30      -3.86      -5.52      -5.24      -1.72
blur        	    -33.00      -5.62     -26.88       9.13     -22.52
gaussian    	    -14.37     -43.44     -44.54     -35.23      -1.95
mmul        	     60.32      -0.08      68.26       4.95      68.39
nas-ft      	      1.86      -8.34      -8.03      -9.71       0.34
nas-lu      	  21198.41     -17.95   18692.12     -11.77   22802.02
nas-ep      	     -0.60       0.32      -0.68      -0.09      -1.00
