bench,kern,"cake0 exec","cake1 exec","cake2 exec","cake3 exec","cake0 setup","cake1 setup","cake2 setup","cake3 setup"
blur,blur_hor,0.775549,0.7710275,0.776152,0.704033,15.5230185,15.8595335,15.455516,15.804971
blur,blur_ver,0.872662,0.870879,0.891404,0.765641,15.459183,15.844072,15.4159675,15.7774115
mmul,fmma,3.0961065,3.0071205,2.995164,2.8799645,15.6736465,15.9387185,15.6442335,15.758598
nas-ft,cffts1,7.419371,7.2452225,7.504042,7.225885,15.7458035,16.2111155,15.771855,16.251118
nas-ft,cffts2,5.1661975,4.979514,5.38608,4.9408485,15.8865445,16.323475,15.8563645,16.332449
nas-ft,cffts3,6.2980525,6.090221,6.2563655,5.777268,15.89322,16.3088045,15.8667505,16.341285
nas-ft,checksum,0.037807,0.0385815,0.0442225,0.044664,15.672286,16.0369095,15.719691,16.0456325
nas-ft,compute_indexmap,0.8189755,0.8183435,0.820253,0.820326,15.5653685,15.909045,15.5647895,15.9047375
nas-ft,compute_initial_conditions,0.824764,0.817731,0.8190215,0.8163,15.5336655,15.896023,15.525939,15.8947005
nas-ft,evolve,1.909054,1.9046915,1.9293965,1.927732,15.6563075,16.00396,15.691247,16.028545
nas-ft,init_ui,0.215252,0.2153545,0.214193,0.214705,15.4369585,15.7732345,15.4392215,15.7704725
