bench,kern,"cake0 exec","cake1 exec","cake2 exec","cake3 exec","cake0 setup","cake1 setup","cake2 setup","cake3 setup"
blur,blur_hor,5.92482,5.923854,5.9502175,5.558431,17.0254965,17.3028875,16.9894145,17.2992915
blur,blur_ver,6.231083,6.2342805,6.325715,5.978317,17.0367385,17.2857265,16.9799715,17.2872845
mmul,fmma,5.024417,4.821334,4.9342005,4.6892645,17.1955875,17.3922485,17.2021895,17.2596115
nas-ft,cffts1,13.047306,12.94686,13.052305,12.9760485,17.215839,17.688656,17.215167,17.6455175
nas-ft,cffts2,13.907538,13.7487715,13.758232,13.630869,17.272168,17.724864,17.267336,17.6861995
nas-ft,cffts3,14.6523095,14.588359,14.5733475,14.4918235,17.2720525,17.715001,17.2422885,17.689378
nas-ft,checksum,0.0025155,0.0024765,0.0024505,0.002666,17.0919845,17.379928,17.0879835,17.370125
nas-ft,compute_indexmap,1.33109,1.3310785,1.3305705,1.3305995,17.036055,17.3471315,16.995061,17.3020215
nas-ft,compute_initial_conditions,1.377569,1.376619,1.3782265,1.3743735,16.994026,17.304681,16.982218,17.286238
nas-ft,evolve,4.5747715,4.5704735,4.5649005,4.5741995,17.060809,17.3249905,17.034892,17.3484805
nas-ft,init_ui,0.313368,0.3128695,0.3122155,0.310998,16.940145,17.223866,16.940365,17.2404045
