
	=== setup ===
speedups	       b/o        b/s       b/os       o/os       s/os
nas-cg      	    -10.13      -8.20     -17.05      -7.70      -9.65
mandelbrot  	    -18.56       6.88     -10.18      10.29     -15.96
nas-sp      	    -11.38      -0.60     -19.03      -8.63     -18.54
particlefilter	    -20.76       0.07     -20.33       0.54     -20.38
nas-is      	    -23.62       1.06     -23.18       0.57     -23.99
blur        	    -20.91       3.87     -16.59       5.45     -19.70
gaussian    	    -14.27       0.03     -14.11       0.19     -14.13
mmul        	    -47.19      -1.54     -47.55      -0.68     -46.73
nas-ft      	    -13.44       3.22     -19.14      -6.58     -21.65
nas-lu      	    766.42     -35.63     759.48      -0.80    1235.15
nas-ep      	    -38.67      -0.61     -39.53      -1.41     -39.16

	=== exec ===
speedups	       b/o        b/s       b/os       o/os       s/os
nas-cg      	      0.53      -7.99      -8.19      -8.67      -0.22
mandelbrot  	      0.38       3.52       2.07       1.69      -1.40
nas-sp      	     -0.85     -84.26     -84.32     -84.18      -0.33
particlefilter	     -2.98      -3.97      -1.12       1.92       2.97
nas-is      	      0.89      -0.39       1.13       0.24       1.53
blur        	    -14.95      -0.94      -1.83      15.43      -0.90
gaussian    	      0.65     -11.28     -11.72     -12.29      -0.49
mmul        	     59.97      -0.07      60.42       0.28      60.53
nas-ft      	      3.11      -0.19       4.90       1.74       5.10
nas-lu      	  25003.79     -38.17   24760.36      -0.97   40106.97
nas-ep      	     27.24       1.13      32.64       4.24      31.15
