bench,kern,"cake0 exec","cake1 exec","cake2 exec","cake3 exec","cake0 setup","cake1 setup","cake2 setup","cake3 setup"
blur,blur_hor,4.091052,5.936208,4.171451,5.886789,0.572991,0.628443,0.506551,0.587349
blur,blur_ver,4.533549,6.243999,4.8994,8.088824,0.564603,0.636225,0.503973,0.593259
mmul,fmma,7.767518,4.899138,7.786822,4.890348,0.391818,0.459253,0.202938,0.280896
nas-ft,cffts1,13.960139,13.017258,13.082309,17.152729,0.577927,0.730384,0.590169,0.950775
nas-ft,cffts2,14.504373,13.740719,13.776912,17.727431,0.614394,0.78713,0.610519,0.966768
nas-ft,cffts3,15.416931,14.615567,14.617809,18.141478,0.615306,0.779371,0.61494,0.972286
nas-ft,checksum,0.002456,0.002378,0.002677,0.0027,0.448115,0.478569,0.470129,0.588815
nas-ft,compute_indexmap,1.373407,1.353753,1.348642,1.829687,0.389239,0.412388,0.373609,0.486698
nas-ft,compute_initial_conditions,1.426707,1.373757,1.371155,1.847122,0.363468,0.363873,0.34766,0.457475
nas-ft,evolve,4.676493,4.551888,4.56254,4.612665,0.417399,0.432438,0.418968,0.735418
nas-ft,init_ui,0.318338,0.321126,0.315474,0.377643,0.368104,0.276724,0.293059,0.369054
